NO,주소,층,보증금,월세,관리비,종류,평수,방 수,욕실 수,"향(남향,동향등)",전입가능 여부,주차장,즉시입주여부,복층여부,에어컨,냉장고,세탁기,인덕션,엘리베이터,신발장,옷장,베란다,싱크대,사진1,사진2,사진3,사진4,url 주소
1,인천시 연수구 송도동 311,35,10000000,750000,150000,오피스텔,17.85,1,1,동향,O,O,X,X,O,O,O,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5mvpQtBk
2,인천시 연수구 송도동 311,35,5000000,750000,150000,오피스텔,17.85,1,1,남동향,O,O,X,X,O,O,O,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FqI9zoFs
3,인천시 연수구 송도동 311,5,80000000,950000,250000,오피스텔,49.76,3,2,남향,X,O,O,X,O,X,X,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/G5k3fTaf
4,인천시 연수구 송도동 311,5,70000000,800000,300000,오피스텔,49.76,3,2,남향,X,O,O,X,O,X,X,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FZoKy0xS
5,인천시 연수구 송도동 311,10,10000000,600000,120000,오피스텔,17.85,1,1,동향,X,O,X,X,O,O,X,O,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5IfVoKcK
6,인천시 연수구 송도동 311,35,5000000,700000,150000,오피스텔,17.85,1,1,서향,X,O,O,X,O,X,O,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/GO6ynO5a
7,인천시 연수구 송도동 311,10,10000000,700000,150000,오피스텔,17.85,1,1,동향,X,O,X,X,O,X,O,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/5UVjthtN
8,인천시 연수구 송도동 311,35,5000000,750000,150000,오피스텔,17.85,1,1,동향,O,O,O,X,O,X,X,X,O,O,O,O,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/FpwpQpPU
9,인천시 연수구 송도동 29-1,10,5000000,600000,90000,오피스텔,18.83,1,1,동향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xG0Xu3IZ
10,인천시 연수구 송도동 29-1,35,5000000,650000,150000,오피스텔,18.83,1,1,서향,X,O,X,X,O,O,O,O,O,O,O,X,O,#VALUE!,#VALUE!,#VALUE!,,https://naver.me/xF4H0xTG
