NO,주소,위도,경도,층,보증금 시그모이드,보증금 z score,보증금,월세 시그모이드,월세 zscore,월세,관리비 시그모이드,관리비 zscore,관리비,종류,평수,방 수,욕실 수,향,"향(남향,동향등)(원본)",전입가능여부,전입가능 여부(원본),주차장,주차장(원본),즉시 입주 여부,즉시입주여부(원본),복층 여부,복층여부(원본),에어컨,에어컨(원본),냉장고,냉장고(원본),세탁기,세탁기(원본),인덕션,인덕션(원본),엘리베이터,엘리베이터(원본),신발장,신발장(원본),옷장,옷장(원본),베란다,베란다(원본),싱크대,싱크대(원본),url 주소,버스_시간(분),지하철_시간(분),총_시간(분)
1,인천시 연수구 동춘동 936-5,37.4078107,126.6720094,8,0.35712356,-0.587870717,2000000,0.21707,-1.28285,300000,0.18342,-1.49334,0,원룸,11,1,1,동,동,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,1,O,1,o,1,o,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.66531858033557-37.40783600000023&zoom=14.51041536484102&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPpWxQQkzABowAHZBAWwGc5xk0tsBJGeAJgDYBGAKyCAzAE4xg7mAC%2BFJIQCuSAHYIARjjgAzBJnrYZAXSA,0,0,35 
2,인천시 연수구 동춘동 814-4,37.4131983,126.6560587,2,0.378489117,-0.495966104,3000000,0.29987,-0.8479,400000,0.2808,-0.9405,50000,원룸,25,1,1,남서,남서,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,0,x,1,o,0,x,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.64287618021194-37.413260999999224&zoom=14.51041536484102&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMd53YDMrgJxzylavSOssCDyALpAA,0,0,27 
3,인천시 연수구 동춘동 804-1,37.4135973,126.656938,1,0.422588357,-0.312156877,5000000,0.5055,0.02201,600000,0.18342,-1.49334,0,단독/다가구,50,2,1,남서,남서,0,,1,o,0,협의 가능,0,X,1,o,1,o,1,o,1,o,0,x,0,x,0,x,0,x,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.64363972661761-37.413642999999894&zoom=14.49600644810136&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMAVgDMABiceAHHPKVq9EassCDyALpAA,0,0,29 
4,인천시 연수구 선학동 391-1,37.42978,126.6964982,3,0.536775018,0.147366189,10000000,0.34742,-0.63042,450000,0.20056,-1.38277,10000,빌라,11,3,1,남서,남서,0,,1,o,0,협의 가능,0,X,1,o,1,o,1,o,1,o,0,x,1,o,1,o,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.6848519252901-37.4298330000005&zoom=14.690157139221347&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMdgCwAOOwHYArA7nlK1PRGrLAg8gC6QA,0,0,34 
5,인천시 연수구 선학동 377-5,37.4233437,126.6918359,2,0.422588357,-0.312156877,5000000,0.23221,-1.19586,320000,0.32753,-0.71936,70000,원룸,6,1,1,남 ,남 ,0,,1,o,1,즉시입주,0,X,1,o,0,x,1,o,1,o,0,x,0,x,0,x,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.6848519252901-37.4298330000005&zoom=14.690157139221347&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMdgCwAOOwHYArA7nlK1PRGrLAg8gC6QA,0,0,27 
6,인천시 연수구 선학동 373-11,37.4240947,126.6930642,1,0.336311448,-0.679775331,1000000,0.21707,-1.28285,300000,0.2808,-0.9405,50000,원룸,7,1,1,북,북,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,0,x,0,x,1,o,0,x,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.68143292528907-37.424141000000716&zoom=14.690157139221347&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMAVgAcdgCw2nAZjnlK1PRGrLAg8gC6QA,0,0,29 
7,인천시 연수구 선학동 362-4,37.4248424,126.696473,4,0.35712356,-0.587870717,2000000,0.47291,-0.10848,570000,0.35234,-0.60879,80000,원룸,14,2,1,남,남,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,1,o,1,o,0,x,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.68483192529015-37.42488100000125&zoom=14.690157139221347&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMdgCwBWNw4Acc8pWr0jVlgQeQBdIA,0,0,33 
8,인천시 연수구 선학동 362-4,37.4248424,126.696473,2,0.422588357,-0.312156877,5000000,0.5809,0.32647,670000,0.35234,-0.60879,80000,단독/다가구,17,3,2,남,남,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,1,o,1,o,0,x,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.68501761412631-37.424892279186&zoom=14.718974972700677&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMdgCwBWZw4AcNueUrV6I1ZYEHkAXSA,0,0,33 
9,인천시 연수구 선학동 372-4,37.4245535,126.6927799,1,0.326132967,-0.725727637,500000,0.18238,-1.50033,250000,0.30366,-0.82993,60000,원룸,8,1,1,북,북,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,1,o,1,o,1,o,1,o,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.68139632674115-37.424589999999924&zoom=14.718974972700677&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMAVgAcdgCwB2AJze55Smp6I1ZYEHkAXSA,0,0,29 
10,인천시 연수구 선학동 374-9,37.4238145,126.6927152,2,0.326132967,-0.725727637,500000,0.23221,-1.19586,320000,0.35234,-0.60879,80000,원룸,7,1,1,서,서,0,,1,o,1,즉시입주,0,X,1,o,1,o,1,o,1,o,0,x,0,x,1,o,0,x,1,o,https://fin.land.naver.com/map?realEstateTypes=A05-A06-A07-C02-C01-A02-C03&dealPrice=0-100000000&tradeTypes=B2&warrantyPrice=0-100000000&rentPrice=0-1000000&showOnlySelectedRegion=true&center=126.68131432673863-37.42384800000036&zoom=14.718974972700677&layer=NobwRAlgJmBcYEMBOAXCBjANgUwPqYgGcUwAaMQ7ZdACwAVkEBbQucFATwAds4wBhAIJ0AygFUAMgFEwAX1mlw0PsjRY8UbCgQRMZMF0Ys2iVBhwBJGPABMANgCMAVgDMLgAwBOdw7nlK1PRGrLAg8gC6QA,0,0,28 
