SIGNGU_CD,EMDL_CD,CLL,HMNO,VCNO,ADRES_NM,HOUSE_TYPE,HSMP_NM,BILDNG_YR,FLR,XUAR,CNTRCT_YM,CNTRCT_DE,TRNS_CLSF,TRAMT,ASSRNC_AMT,MTHT_AMT,NRB_SWST_NM,NRB_SWST_DSTNC,SIGUNGU_CD,CNTCT_DE,NRB_SWST_DIST
28185,10100,1,248,17,인천광역시 연수구 옥련동 248-17,연립다세대,양지빌라(248-17),1991,2,35.84,202407,24,월세,0,500,40,송도역,441.6,,,
28185,10100,1,267,10,인천광역시 연수구 옥련동 267-10,연립다세대,대림하이츠타운(267-10),2001,2,39.4,202407,15,월세,0,500,55,송도역,178.9,,,
28185,10100,1,637,1,인천광역시 연수구 옥련동 637-1,아파트,현대4,1997,14,59.99,202407,27,월세,0,2000,71,송도역,457.5,,,
28185,10200,1,31,3,인천광역시 연수구 선학동 31-3,연립다세대,향모빌딩,2011,2,16.59,202407,6,월세,0,300,37,문학경기장역,100,,,
28185,10200,1,340,0,인천광역시 연수구 선학동 340,아파트,"태산,대진.정광아파트",1991,2,64.38,202407,22,월세,0,2000,60,선학역,407.2,,,
28185,10200,1,352,0,인천광역시 연수구 선학동 352,아파트,뉴서울,1992,15,84.53,202407,1,월세,0,2000,130,선학역,82.7,,,
28185,10200,1,387,0,인천광역시 연수구 선학동 387,아파트,윤성,1995,3,84.93,202407,6,월세,0,3000,90,선학역,343,,,
28185,10200,1,391,1,인천광역시 연수구 선학동 391-1,연립다세대,아름빌라(14동),1994,3,37.54,202407,28,월세,0,300,45,선학역,302.3,,,
28185,10200,1,398,4,인천광역시 연수구 선학동 398-4,연립다세대,"우미마을(가,나)동",1995,3,59.77,202407,1,월세,0,1000,65,선학역,171.7,,,
28185,10200,1,399,7,인천광역시 연수구 선학동 399-7,연립다세대,이레빌,2011,4,15.82,202407,6,월세,0,300,42,선학역,103.2,,,
